# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Angle of attack (°),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
27.058,3176.1,21.45,9.4169,656.18,0.0040215,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.112,3175.8,21.414,9.3337,657.27,0.004028,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.166,3175.4,21.389,9.2508,658.36,0.0040345,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.22,3174.9,21.377,9.1682,659.45,0.0040409,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.276,3174.5,21.376,9.0856,660.53,0.0040474,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.331,3174,21.387,9.0029,661.62,0.0040539,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.387,3173.5,21.41,8.92,662.71,0.0040604,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.444,3173,21.444,8.8368,663.8,0.0040668,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.501,3172.4,21.49,8.7532,664.88,0.0040733,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.558,3171.8,21.546,8.6689,665.97,0.0040798,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.617,3171.2,21.613,8.584,667.06,0.0040862,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.676,3170.5,21.691,8.4982,668.15,0.0040927,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.735,3169.8,21.78,8.4115,669.23,0.0040992,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.795,3169,21.878,8.3238,670.32,0.0041057,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.856,3168.3,21.987,8.235,671.41,0.0041121,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.917,3167.4,22.105,8.1449,672.5,0.0041186,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
27.979,3166.6,22.233,8.0536,673.59,0.0041251,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.042,3165.7,22.37,7.9608,674.68,0.0041316,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.106,3164.8,22.516,7.8666,675.78,0.0041381,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.17,3163.8,22.67,7.7708,676.87,0.0041446,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.235,3162.8,22.833,7.6733,677.96,0.0041511,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.301,3161.7,23.004,7.5743,679.06,0.0041576,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.368,3160.6,23.182,7.4734,680.16,0.0041642,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.436,3159.5,23.368,7.3708,681.26,0.0041707,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.505,3158.3,23.561,7.2663,682.36,0.0041773,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.575,3157,23.762,7.1599,683.46,0.0041838,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.645,3155.7,23.968,7.0516,684.57,0.0041904,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.717,3154.4,24.181,6.9413,685.68,0.004197,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.791,3152.9,24.4,6.8291,686.79,0.0042036,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.865,3151.5,24.625,6.7148,687.9,0.0042102,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
28.941,3150,24.855,6.5984,689.02,0.0042169,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
29.018,3148.4,25.091,6.48,690.14,0.0042236,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
29.097,3146.7,25.331,6.3595,691.27,0.0042303,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
29.177,3145,25.576,6.2369,692.39,0.004237,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
29.259,3143.2,25.826,6.1122,693.53,0.0042437,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
29.342,3141.3,26.08,5.9854,694.67,0.0042505,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
29.428,3139.4,26.337,5.8565,695.81,0.0042573,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
29.515,3137.3,26.598,5.7255,696.96,0.0042641,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
29.604,3135.2,26.863,5.5924,698.11,0.004271,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
29.696,3133,27.13,5.4573,699.28,0.0042779,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
29.79,3130.7,27.4,5.3201,700.44,0.0042849,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
29.886,3128.3,27.673,5.1809,701.62,0.0042918,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
29.986,3125.8,27.948,5.0397,702.8,0.0042989,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
30.088,3123.1,28.226,4.8965,703.99,0.0043059,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
30.193,3120.4,28.504,4.7514,705.19,0.0043131,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
30.302,3117.5,28.785,4.6045,706.39,0.0043203,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
30.414,3114.4,29.066,4.4557,707.61,0.0043275,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
30.53,3111.2,29.349,4.3051,708.84,0.0043348,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
30.65,3107.9,29.632,4.1528,710.07,0.0043421,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
30.775,3104.3,29.915,3.9989,711.32,0.0043496,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
30.905,3100.6,30.198,3.8434,712.58,0.0043571,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
31.041,3096.6,30.481,3.6865,713.85,0.0043646,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
31.183,3092.4,30.763,3.5282,715.14,0.0043723,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
31.331,3088,31.043,3.3687,716.44,0.00438,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
31.487,3083.3,31.322,3.2079,717.75,0.0043878,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
31.651,3078.2,31.599,3.0462,719.08,0.0043957,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
31.825,3072.8,31.873,2.8836,720.42,0.0044037,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
32.008,3067.1,32.144,2.7204,721.79,0.0044118,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
32.204,3060.9,32.411,2.5565,723.17,0.00442,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
32.413,3054.1,32.674,2.3924,724.57,0.0044284,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
32.637,3046.9,32.931,2.2281,725.99,0.0044368,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
32.88,3038.9,33.182,2.064,727.43,0.0044454,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
33.143,3030.2,33.425,1.9002,728.89,0.0044541,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
33.431,3020.6,33.66,1.7371,730.37,0.0044629,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
33.748,3009.9,33.886,1.575,731.87,0.0044718,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
34.102,2997.9,34.1,1.4143,733.4,0.0044809,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
34.5,2984.3,34.3,1.2551,734.94,0.0044901,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
34.955,2968.7,34.485,1.0979,736.51,0.0044994,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
35.455,2951.4,34.651,0.9431,738,0.0045083,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
35.955,2934,34.787,0.79985,739.29,0.004516,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
36.455,2916.6,34.881,0.68068,740.4,0.0045226,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
36.955,2899.1,34.944,0.58101,741.36,0.0045283,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
37.455,2881.6,34.983,0.49727,742.18,0.0045332,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
37.955,2864.1,35.005,0.42665,742.89,0.0045374,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
38.455,2846.7,35.013,0.36691,743.5,0.004541,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
38.955,2829.2,35.01,0.31628,744.03,0.0045441,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
39.455,2811.7,35.001,0.27332,744.48,0.0045468,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
39.955,2794.2,34.986,0.23686,744.87,0.0045491,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
40.455,2776.7,34.966,0.20595,745.2,0.0045511,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
40.955,2759.2,34.944,0.1798,745.49,0.0045528,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
41.455,2741.8,34.919,0.15773,745.73,0.0045543,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
41.955,2724.4,34.893,0.1392,745.95,0.0045556,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
42.455,2706.9,34.865,0.12372,746.13,0.0045566,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
42.955,2689.5,34.837,0.11088,746.28,0.0045576,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
43.455,2672.1,34.808,0.1003,746.42,0.0045584,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
43.955,2654.7,34.778,0.091654,746.53,0.0045591,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
44.455,2637.4,34.749,0.084658,746.63,0.0045596,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
44.955,2620,34.719,0.079043,746.72,0.0045602,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
45.455,2602.7,34.689,0.074571,746.79,0.0045606,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
45.955,2585.4,34.659,0.071031,746.85,0.004561,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
46.455,2568.1,34.629,0.068242,746.91,0.0045613,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
46.955,2550.8,34.599,0.066047,746.95,0.0045616,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
47.455,2533.5,34.569,0.064318,746.99,0.0045618,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
47.955,2516.2,34.539,0.062951,747.03,0.004562,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
48.455,2499,34.509,0.06186,747.05,0.0045622,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
48.955,2481.7,34.48,0.061042,747.08,0.0045623,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
49.455,2464.5,34.45,0.061362,747.1,0.0045624,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
49.955,2447.3,34.42,0.06151,747.12,0.0045625,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
50.455,2430.1,34.39,0.061535,747.13,0.0045626,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
50.955,2413,34.359,0.061472,747.15,0.0045627,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
51.455,2395.8,34.329,0.061346,747.16,0.0045628,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
51.955,2378.7,34.298,0.061178,747.17,0.0045628,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
52.455,2361.5,34.268,0.060979,747.18,0.0045629,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
52.955,2344.4,34.238,0.06076,747.18,0.0045629,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
53.455,2327.3,34.207,0.060527,747.19,0.004563,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
53.955,2310.3,34.177,0.060285,747.2,0.004563,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
54.455,2293.2,34.147,0.060037,747.2,0.004563,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
54.955,2276.1,34.117,0.059787,747.2,0.0045631,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
55.455,2259.1,34.087,0.059534,747.21,0.0045631,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
55.955,2242.1,34.057,0.059281,747.21,0.0045631,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
56.455,2225.1,34.028,0.059029,747.21,0.0045631,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
56.955,2208.1,33.998,0.058776,747.22,0.0045631,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
57.455,2191.1,33.969,0.058525,747.22,0.0045631,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
57.955,2174.1,33.94,0.058276,747.22,0.0045631,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
58.455,2157.2,33.911,0.058028,747.22,0.0045631,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
58.955,2140.3,33.882,0.057781,747.22,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
59.455,2123.3,33.853,0.057536,747.22,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
59.955,2106.4,33.824,0.057293,747.22,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
60.455,2089.5,33.795,0.057051,747.22,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
60.955,2072.7,33.767,0.056811,747.22,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
61.455,2055.8,33.738,0.056573,747.22,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
61.955,2039,33.71,0.056336,747.22,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
62.455,2022.1,33.682,0.056101,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
62.955,2005.3,33.654,0.055868,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
63.455,1988.5,33.626,0.055636,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
63.955,1971.7,33.598,0.056112,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
64.455,1954.9,33.57,0.056703,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
64.955,1938.2,33.542,0.05705,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
65.455,1921.4,33.513,0.057224,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
65.955,1904.7,33.484,0.057275,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
66.455,1888,33.456,0.05724,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
66.955,1871.3,33.427,0.057145,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
67.455,1854.6,33.399,0.057007,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
67.955,1837.9,33.37,0.056839,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
68.455,1821.2,33.342,0.056652,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
68.955,1804.6,33.313,0.05645,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
69.455,1787.9,33.285,0.056239,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
69.955,1771.3,33.257,0.056021,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
70.455,1754.7,33.229,0.0558,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
70.955,1738.1,33.201,0.055577,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
71.455,1721.5,33.173,0.055352,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
71.955,1705,33.146,0.055127,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
72.455,1688.4,33.118,0.054903,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
72.955,1671.9,33.091,0.054679,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
73.455,1655.4,33.063,0.054456,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
73.955,1638.8,33.036,0.054234,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
74.455,1622.3,33.009,0.054013,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
74.955,1605.9,32.982,0.053793,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
75.455,1589.4,32.955,0.053575,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
75.955,1572.9,32.928,0.053359,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
76.455,1556.5,32.902,0.053143,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
76.955,1540.1,32.875,0.052929,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
77.455,1523.6,32.849,0.052717,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
77.955,1507.2,32.822,0.052506,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
78.455,1490.8,32.796,0.052296,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
78.955,1474.5,32.77,0.052637,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
79.455,1458.1,32.744,0.053243,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
79.955,1441.7,32.717,0.053602,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
80.455,1425.4,32.69,0.053786,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
80.955,1409.1,32.663,0.053848,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
81.455,1392.8,32.636,0.053826,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
81.955,1376.5,32.609,0.053744,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
82.455,1360.2,32.582,0.053622,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
82.955,1343.9,32.556,0.053471,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
83.455,1327.7,32.529,0.053301,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
83.955,1311.4,32.502,0.053118,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
84.455,1295.2,32.476,0.052926,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
84.955,1279,32.449,0.052728,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
85.455,1262.8,32.423,0.052527,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
85.955,1246.6,32.397,0.052324,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
86.455,1230.4,32.37,0.05212,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
86.955,1214.2,32.344,0.051915,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
87.455,1198.1,32.318,0.051711,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
87.955,1181.9,32.293,0.051507,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
88.455,1165.8,32.267,0.051304,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
88.955,1149.7,32.241,0.051102,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
89.455,1133.6,32.216,0.050901,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
89.955,1117.5,32.19,0.050702,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
90.455,1101.4,32.165,0.050503,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
90.955,1085.4,32.14,0.050306,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
91.455,1069.3,32.114,0.05011,747.23,0.0045632,NaN,NaN,NaN,NaN,27.093,NaN,NaN,NaN,NaN,0,NaN,NaN,0
